Romania Total Population;Year
18406905;1960
18555250;1961
18676550;1962
18797850;1963
18919126;1964
19031576;1965
19215450;1966
19534242;1967
19799831;1968
20009141;1969
20250398;1970
20461567;1971
20657957;1972
20835681;1973
21029429;1974
21293583;1975
21551634;1976
21756096;1977
21951464;1978
22090488;1979
22207282;1980
22353070;1981
22475741;1982
22560478;1983
22640547;1984
22732999;1985
22836841;1986
22949430;1987
23057662;1988
23161458;1989
23201835;1990
23001155;1991
22794284;1992
22763280;1993
22730211;1994
22684270;1995
22619004;1996
22553978;1997
22507344;1998
22472040;1999
22442971;2000
22131970;2001
21730496;2002
21574326;2003
21451748;2004
21319685;2005
21193760;2006
20882982;2007
20537875;2008
20367487;2009
20246871;2010
20147528;2011
20058035;2012
19983693;2013
19908979;2014
19815616;2015
19702267;2016
19588715;2017
19473970;2018
19371648;2019
19265250;2020
19119880;2021
